WMO,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
62397,----,SOHAG,,EG,61,26.57,N,37.7,E
62403,----,SOUTH OF VALLEY UN,,EG,96,26.2,N,32.75,E
62405,----,LUXOR,,EG,95,25.67,N,32.7,E
62414,HESN,ASWAN (CIV/MIL),,EG,194,23.97,N,32.78,E
62416,----,SIWA,,EG,3,29.25,N,25.52,E
62417,----,SIWA,,EG,-15,29.2,N,25.48,E
62420,----,BAHARIA,,EG,128,28.33,N,28.9,E
62423,----,FARAFRA,,EG,92,27.05,N,27.97,E
62425,----,SHARK EL QUINAT,,EG,275,22.47,N,28.7,E
62432,----,DAKHLA,,EG,111,25.48,N,29,E
62435,----,KHARGA,,EG,78,25.45,N,30.53,E
62450,----,EL-SUEZ,,EG,4,29.87,N,32.47,E
62600,----,WADI HALFA,,SU,150,21.92,N,31.35,E
62640,----,ABU HAMED,,SU,312,19.53,N,33.32,E
62641,----,PORT SUDAN,,SU,3,19.58,N,37.22,E
62650,----,DONGOLA,,SU,226,19.17,N,30.48,E
62721,HSSS,KHARTOUM (CIV/MIL),,SU,380,15.6,N,32.55,E
62730,----,KASSALA,,SU,500,15.47,N,36.4,E
62760,----,EL FASHER,,SU,733,13.62,N,25.33,E
62771,----,EL OBEID,,SU,574,13.17,N,30.23,E
62772,----,KOSTI,,SU,381,13.17,N,32.67,E
62805,----,DAMAZINE,,SU,474,11.78,N,34.38,E
62840,----,MALAKAL,,SU,387,9.55,N,31.65,E
62880,----,WAU,,SU,438,7.7,N,28.02,E
63021,----,ASMARA,,ER,2325,15.28,N,38.92,E
63125,----,DJIBOUTI CITY,,DJ,19,11.55,N,43.15,E
63450,HAAB,ADDIS ABABA/BOLE,,ET,2355,8.98,N,38.8,E
63478,----,GODE,,ET,320,5.1,N,44.58,E
63533,HANG,NEGHELLI (MIL),,ET,1455,5.28,N,39.75,E
63602,HUAR,ARUA,,UG,1211,3.05,N,30.92,E
63612,HKLO,LODWAR,,KN,515,3.12,N,35.62,E
63624,----,MANDERA,,KN,230,3.93,N,41.87,E
63674,HUKS,KASESE,,UG,961,0.18,N,30.1,E
63705,HUEN,ENTEBBE INTL ARPT,,UG,1155,0.05,N,32.45,E
63710,HKKR,KERICHO,,KN,2184,0.37,S,35.35,E
63714,----,NAKURU,,KN,1871,0.27,S,36.07,E
63723,HKGA,GARISSA,,KN,147,0.47,S,39.63,E
63741,HKNC,NAIROBI/DAGORETTI,,KN,1798,1.3,S,36.75,E
63756,----,MWANZA,,KN,1139,2.47,S,32.92,E
63766,----,MAKINDU,,KN,998,2.28,S,37.83,E
63793,----,VOI,,KN,560,3.4,S,38.57,E
63799,----,MALINDI,,KN,24,3.23,S,40.1,E
63801,----,KIGOMA,,KN,882,4.88,S,29.63,E
63832,----,TABORA,,KN,1181,5.07,S,32.83,E
63862,----,DODOMA,,KN,1120,6.17,S,35.77,E
63894,----,DAR ES SALAAM,,KN,55,6.88,S,39.2,E
63932,----,MBEYA,,KN,1704,8.93,S,33.47,E
63985,FSSS,SEYCHELLES INTL,,SC,4,4.68,S,55.53,E
64210,----,KINSHASA/N'DJILI,,ZR,309,4.38,S,15.43,E
64387,----,KIGALI,,RW,1483,1.97,S,30.12,E
64400,FCPP,POINTE-NOIRE,,CG,17,4.82,S,11.9,E
64401,----,DOLISIE,,CG,329,4.22,S,12.7,E
64450,FCBB,BRAZZAVILLE/MAYA-M,,CG,316,4.25,S,15.25,E
64453,----,DJAMBALA,,CG,791,2.53,S,14.77,E
64458,FCOU,OUESSO,,CG,352,1.62,N,16.05,E
64459,----,IMPFONDO,,CG,335,1.62,N,18.07,E
64500,FOOL,LIBREVILLE/LEON MB,,GO,15,0.45,N,9.42,E
64501,----,PORT GENTIL,,GO,4,0.7,S,8.75,E
64510,----,BITAM,,GO,600,2.08,N,11.48,E
64565,----,MOANDA,,GO,571,1.53,S,13.27,E
64600,----,BERBERATI,,CE,584,4.22,N,15.78,E
64601,----,BOUAR,,CE,1024,5.97,N,15.63,E
64610,----,BOSSANGOA,,CE,499,6.48,N,17.43,E
64650,FEFF,BANGUI/M'POKO (MIL,,CE,366,4.4,N,18.52,E
64654,----,N'DELE,,CE,510,8.4,N,20.65,E
64656,----,BANGASSOU,,CE,500,4.73,N,22.83,E
64700,FTTJ,NDJAMENA,,CD,295,12.13,N,15.03,E
64705,FTTS,BOUSSO,,CD,336,10.48,N,16.72,E
64750,FTTA,SARH,,CD,365,9.15,N,18.38,E
64756,----,ABECHER,,CD,545,13.85,N,20.85,E
64860,----,GARDOUA,,CM,241,9.33,N,13.38,E
64870,----,NGAOUNDERE,,CM,1114,7.35,N,13.57,E
64893,----,KOUNDJA,,CM,1208,5.65,N,10.75,E
